"","workerid","noun","nounclass","slide_number","sense","predicate2","predicate1","class2","response","class1","makes_sense","triple"
"2884",96,"service","X",6,"no","prestigious","thin","value",0.52,"dimension","no","thin prestigious service"
"2885",96,"grandchild","X",7,"no","exciting","yellow","value",0.27,"color","no","yellow exciting grandchild"
"2886",96,"teller","X",8,"no","potential","long","X",0.83,"dimension","no","long potential teller"
"2895",96,"meat","X",17,"no","spicy","civilized","physical",0.73,"human","no","civilized spicy meat"
"2941",98,"casserole","X",3,"no","mixed","overhead","X",0.42,"location","no","overhead mixed casserole"
"2942",98,"wind","X",4,"no","slow","national","speed",0.6,"nationality","no","national slow wind"
"2971",99,"coke","X",3,"no","strict","blonde","human",0.51,"color","no","blonde strict coke"
"2973",99,"wood","X",5,"no","internal","entrepreneurial","location",0.51,"human","no","entrepreneurial internal wood"
"2974",99,"level","X",6,"no","mini","senior","dimension",0.5,"age","no","senior mini level"
"2976",99,"weather","X",8,"no","sweet","selfish","physical",0.5,"human","no","selfish sweet weather"
"2978",99,"vacation","X",10,"no","civilized","thick","human",0.5,"dimension","no","thick civilized vacation"
"2986",99,"spaghetti","X",18,"no","closest","white","location",0.51,"color","no","white closest spaghetti"
"2994",99,"truth","X",26,"no","daily","purple","temporal",0.51,"color","no","purple daily truth"
"2995",99,"parent","X",27,"no","civilized","mini","human",0.5,"dimension","no","mini civilized parent"
"2996",99,"story","X",28,"no","creamy","Brazilian","physical",0.18,"nationality","no","Brazilian creamy story"
"2997",99,"vacation","X",29,"no","Hispanic","professional","nationality",0.51,"human","no","professional Hispanic vacation"
"2998",99,"topic","X",30,"no","circular","purple","shape",0.51,"color","no","purple circular topic"
"2999",99,"child","X",31,"no","lacy","crocheted","physical",0.54,"material","no","crocheted lacy child"
"3003",100,"hand","X",5,"no","wooden","selfish","material",0.53,"human","no","selfish wooden hand"
"3011",100,"perspective","X",13,"no","Vietnamese","red","nationality",0.49,"color","no","red Vietnamese perspective"
"3013",100,"paper","X",15,"no","closest","long","location",0.57,"dimension","no","long closest paper"
"3015",100,"slant","X",17,"no","solid","young","physical",0.65,"age","no","young solid slant"
"3018",100,"student","X",20,"no","everyday","long","temporal",0.69,"dimension","no","long everyday student"
"3020",100,"line","X",22,"no","favorite","sweet","value",0.72,"physical","no","sweet favorite line"
"3021",100,"way","X",23,"no","speedy","purple","speed",0.67,"color","no","purple speedy way"
"3023",100,"corporation","X",25,"no","speedy","creamy","speed",0.68,"physical","no","creamy speedy corporation"
"3027",100,"puppy","X",29,"no","strange","corduroy","value",0.51,"material","no","corduroy strange puppy"
"3028",100,"day","X",30,"no","crocheted","creative","material",0.54,"human","no","creative crocheted day"
"3029",100,"coke","X",31,"no","international","playful","nationality",0.49,"human","no","playful international coke"
"3031",101,"conscience","X",3,"no","fast","black","speed",0.55,"color","no","black fast conscience"
"3035",101,"behavior","X",7,"no","creamy","green","physical",0.46,"color","no","green creamy behavior"
"3038",101,"leadership","X",10,"no","lacy","playful","physical",0.27,"human","no","playful lacy leadership"
"3039",101,"leadership","X",11,"no","prestigious","wooden","value",0.33,"material","no","wooden prestigious leadership"
"3040",101,"snake","X",12,"no","best","closest","value",0.48,"location","no","closest best snake"
"3044",101,"garbage","X",16,"no","strange","closest","value",0.71,"location","no","closest strange garbage"
"3046",101,"color","X",18,"no","Vietnamese","sad","nationality",0.49,"human","no","sad Vietnamese color"
"3074",102,"college","X",16,"no","individual","curly","X",0.5,"physical","no","curly individual college"
"3085",102,"time","X",27,"no","last","young","X",0.48,"age","no","young last time"
"3090",102,"rib","X",32,"no","lavish","professional","value",0.54,"human","no","professional lavish rib"
"3130",104,"weather","X",12,"no","best","red","value",0.55,"color","no","red best weather"
"3139",104,"change","X",21,"no","closest","young","location",0.61,"age","no","young closest change"
"3150",104,"level","X",32,"no","fast","gold","speed",0.53,"material","no","gold fast level"
"3181",106,"grandfather","X",3,"no","current","strict","temporal",0.93,"human","no","strict current grandfather"
"3241",108,"truth","X",3,"no","creamy","old","physical",0.73,"age","no","old creamy truth"
"3244",108,"value","X",6,"no","frozen","professional","physical",0.41,"human","no","professional frozen value"
"3246",108,"area","X",8,"no","lavish","creamy","value",0.41,"physical","no","creamy lavish area"
"3253",108,"service","X",15,"no","strange","creamy","value",0.34,"physical","no","creamy strange service"
"3254",108,"behavior","X",16,"no","plain","frozen","value",0.55,"physical","no","frozen plain behavior"
"3255",108,"hand","X",17,"no","circular","national","shape",0.5,"nationality","no","national circular hand"
"3257",108,"code","X",19,"no","national","corduroy","nationality",0.59,"material","no","corduroy national code"
"3264",108,"lab","X",26,"no","crocheted","creative","material",0.66,"human","no","creative crocheted lab"
"3269",108,"baby","X",31,"no","token","square","X",0.53,"shape","no","square token baby"
"3273",109,"wind","X",5,"no","token","sad","X",1,"human","no","sad token wind"
"3274",109,"offender","X",6,"no","professional","yellow","human",0.17,"color","no","yellow professional offender"
"3286",109,"country","X",18,"no","lacy","playful","physical",0.82,"human","no","playful lacy country"
"3365",112,"weather","X",7,"no","gold","white","material",0.77,"color","no","white gold weather"
"3368",112,"ride","X",10,"no","daily","gold","temporal",0,"material","no","gold daily ride"
"3370",112,"sand","X",12,"no","different","European","X",0,"nationality","no","European different sand"
"3371",112,"burden","X",13,"no","curly","selfish","physical",0.83,"human","no","selfish curly burden"
"3373",112,"luxury","X",15,"no","creamy","closest","physical",1,"location","no","closest creamy luxury"
"3374",112,"student","X",16,"no","entrepreneurial","yellow","human",1,"color","no","yellow entrepreneurial student"
"3375",112,"meat","X",17,"no","national","wooden","nationality",1,"material","no","wooden national meat"
"3380",112,"bearing","X",22,"no","plain","blue","value",0,"color","no","blue plain bearing"
"3382",112,"garbage","X",24,"no","pleasant","national","value",0.17,"nationality","no","national pleasant garbage"
"3386",112,"conscience","X",28,"no","closest","long","location",0.17,"dimension","no","long closest conscience"
"3432",114,"power","X",14,"no","favorite","narrow","value",0.5,"dimension","no","narrow favorite power"
"3475",115,"rate","X",27,"no","mixed","blonde","X",0.59,"color","no","blonde mixed rate"
"3512",117,"meat","X",4,"no","long","green","dimension",0.35,"color","no","green long meat"
"3516",117,"field","X",8,"no","everyday","corduroy","temporal",0.14,"material","no","corduroy everyday field"
"3519",117,"meat","X",11,"no","national","blonde","nationality",0.72,"color","no","blonde national meat"
"3520",117,"sauce","X",12,"no","slow","curly","speed",0.35,"physical","no","curly slow sauce"
"3522",117,"joke","X",14,"no","lacy","internal","physical",0.28,"location","no","internal lacy joke"
"3532",117,"grandchild","X",24,"no","gold","young","material",0.79,"age","no","young gold grandchild"
"3534",117,"value","X",26,"no","open","green","dimension",0.26,"color","no","green open value"
"3538",117,"college","X",30,"no","spicy","blonde","physical",0.26,"color","no","blonde spicy college"
"3544",118,"garbage","X",6,"no","designated","creamy","X",0.37,"physical","no","creamy designated garbage"
"3546",118,"number","X",8,"no","national","mini","nationality",0.64,"dimension","no","mini national number"
"3551",118,"perspective","X",13,"no","individual","yellow","X",0.3,"color","no","yellow individual perspective"
"3567",118,"mouth","X",29,"no","curly","overhead","physical",0.21,"location","no","overhead curly mouth"
"3568",118,"world","X",30,"no","overhead","sad","location",0.32,"human","no","sad overhead world"
"3597",119,"plate","X",29,"no","sad","thick","human",0.46,"dimension","no","thick sad plate"
"3614",120,"being","X",16,"no","daily","green","temporal",0.19,"color","no","green daily being"
"3637",121,"shot","X",9,"no","solid","Vietnamese","physical",0.54,"nationality","no","Vietnamese solid shot"
"3654",121,"weather","X",26,"no","daily","old","temporal",0.75,"age","no","old daily weather"
"3661",122,"driveway","X",3,"no","plain","blue","value",0.49,"color","no","blue plain driveway"
"3662",122,"luxury","X",4,"no","speedy","green","speed",0.5,"color","no","green speedy luxury"
"3670",122,"wood","X",12,"no","speedy","gold","speed",0.81,"material","no","gold speedy wood"
"3671",122,"college","X",13,"no","European","yellow","nationality",0.93,"color","no","yellow European college"
"3673",122,"hair","X",15,"no","creamy","Brazilian","physical",0,"nationality","no","Brazilian creamy hair"
"3675",122,"joke","X",17,"no","prestigious","overhead","value",0,"location","no","overhead prestigious joke"
"3676",122,"boy","X",18,"no","favorite","crocheted","value",0,"material","no","crocheted favorite boy"
"3677",122,"goal","X",19,"no","current","yellow","temporal",0.08,"color","no","yellow current goal"
"3678",122,"boat","X",20,"no","plain","junior","value",0.06,"age","no","junior plain boat"
"3681",122,"car","X",23,"no","Hispanic","biggest","nationality",0.95,"dimension","no","biggest Hispanic car"
"3682",122,"coke","X",24,"no","pleasant","speedy","value",0.07,"speed","no","speedy pleasant coke"
"3684",122,"valley","X",26,"no","large","blonde","dimension",0,"color","no","blonde large valley"
"3686",122,"snake","X",28,"no","daily","green","temporal",0,"color","no","green daily snake"
"3688",122,"engine","X",30,"no","individual","lacy","X",0.07,"physical","no","lacy individual engine"
"3689",122,"code","X",31,"no","Hispanic","senior","nationality",0,"age","no","senior Hispanic code"
"3690",122,"ski","X",32,"no","English","junior","nationality",0.02,"age","no","junior English ski"
"3691",123,"shrimp","X",3,"no","lacy","strict","physical",0.71,"human","no","strict lacy shrimp"
"3692",123,"value","X",4,"no","daily","selfish","temporal",0.73,"human","no","selfish daily value"
"3694",123,"trash","X",6,"no","lavish","yellow","value",0.63,"color","no","yellow lavish trash"
"3695",123,"mall","X",7,"no","speedy","spicy","speed",0.71,"physical","no","spicy speedy mall"
"3699",123,"school","X",11,"no","token","lacy","X",0.7,"physical","no","lacy token school"
"3700",123,"garbage","X",12,"no","designated","strict","X",0.84,"human","no","strict designated garbage"
"3701",123,"resort","X",13,"no","speedy","Hispanic","speed",0.18,"nationality","no","Hispanic speedy resort"
"3708",123,"offender","X",20,"no","crocheted","playful","material",0.76,"human","no","playful crocheted offender"
"3709",123,"dog","X",21,"no","potential","strict","X",0.69,"human","no","strict potential dog"
"3710",123,"music","X",22,"no","current","lacy","temporal",0.78,"physical","no","lacy current music"
"3717",123,"college","X",29,"no","lavish","creamy","value",0.85,"physical","no","creamy lavish college"
"3752",125,"recipe","X",4,"no","international","black","nationality",1,"color","no","black international recipe"
"3772",125,"wind","X",24,"no","daily","senior","temporal",0.13,"age","no","senior daily wind"
"3814",127,"wood","X",6,"no","potential","Brazilian","X",0.48,"nationality","no","Brazilian potential wood"
"3815",127,"coverage","X",7,"no","crocheted","civilized","material",0.49,"human","no","civilized crocheted coverage"
"3817",127,"dough","X",9,"no","overhead","junior","location",0.56,"age","no","junior overhead dough"
"3818",127,"baby","X",10,"no","entrepreneurial","mini","human",0.55,"dimension","no","mini entrepreneurial baby"
"3822",127,"conscience","X",14,"no","long","new","dimension",0.55,"age","no","new long conscience"
"3824",127,"resort","X",16,"no","plain","entrepreneurial","value",0.53,"human","no","entrepreneurial plain resort"
"3833",127,"student","X",25,"no","mixed","crocheted","X",0.51,"material","no","crocheted mixed student"
"3835",127,"country","X",27,"no","square","selfish","shape",0.54,"human","no","selfish square country"
"3836",127,"being","X",28,"no","sweet","international","physical",0.52,"nationality","no","international sweet being"
"3838",127,"shrimp","X",30,"no","closest","entrepreneurial","location",0.54,"human","no","entrepreneurial closest shrimp"
"3839",127,"reinforcement","X",31,"no","plain","blonde","value",0.61,"color","no","blonde plain reinforcement"
"3840",127,"luxury","X",32,"no","overhead","white","location",0.96,"color","no","white overhead luxury"
"3841",128,"shrimp","X",3,"no","crocheted","internal","material",0.77,"location","no","internal crocheted shrimp"
"3844",128,"change","X",6,"no","mixed","sweet","X",0.45,"physical","no","sweet mixed change"
"3845",128,"shrimp","X",7,"no","designated","open","X",0.03,"dimension","no","open designated shrimp"
"3847",128,"college","X",9,"no","thick","blonde","dimension",0.09,"color","no","blonde thick college"
"3848",128,"casserole","X",10,"no","individual","strict","X",0.93,"human","no","strict individual casserole"
"3849",128,"crime","X",11,"no","different","slow","X",0.78,"speed","no","slow different crime"
"3850",128,"dog","X",12,"no","creative","green","human",0.1,"color","no","green creative dog"
"3851",128,"pan","X",13,"no","potential","internal","X",0.06,"location","no","internal potential pan"
"3853",128,"paper","X",15,"no","plain","senior","value",0.11,"age","no","senior plain paper"
"3856",128,"problem","X",18,"no","Vietnamese","blue","nationality",0.73,"color","no","blue Vietnamese problem"
"3857",128,"sauce","X",19,"no","daily","gold","temporal",0.76,"material","no","gold daily sauce"
"3858",128,"day","X",20,"no","thin","junior","dimension",0.21,"age","no","junior thin day"
"3859",128,"casserole","X",21,"no","different","closest","X",0.82,"location","no","closest different casserole"
"3863",128,"shell","X",25,"no","wooden","overhead","material",0.17,"location","no","overhead wooden shell"
"3866",128,"school","X",28,"no","best","sweet","value",0.25,"physical","no","sweet best school"
"3880",129,"actor","X",12,"no","individual","corduroy","X",0.52,"material","no","corduroy individual actor"
"3903",130,"pan","X",5,"no","everyday","junior","temporal",0.35,"age","no","junior everyday pan"
"3916",130,"labrador","X",18,"no","fast","square","speed",0.65,"shape","no","square fast labrador"
"3918",130,"snake","X",20,"no","Japanese","red","nationality",0.86,"color","no","red Japanese snake"
"3919",130,"income","X",21,"no","international","narrow","nationality",0.35,"dimension","no","narrow international income"
"3920",130,"sand","X",22,"no","European","strict","nationality",0.78,"human","no","strict European sand"
"3921",130,"wood","X",23,"no","speedy","blonde","speed",0.32,"color","no","blonde speedy wood"
"3922",130,"baby","X",24,"no","civilized","red","human",0.84,"color","no","red civilized baby"
"3947",131,"day","X",19,"no","everyday","internal","temporal",0.04,"location","no","internal everyday day"
"3949",131,"conversation","X",21,"no","entrepreneurial","yellow","human",0.88,"color","no","yellow entrepreneurial conversation"
"3950",131,"color","X",22,"no","historical","slow","temporal",0.91,"speed","no","slow historical color"
"3998",133,"field","X",10,"no","strange","playful","value",0.51,"human","no","playful strange field"
"4022",134,"reason","X",4,"no","international","internal","nationality",0.45,"location","no","internal international reason"
"4046",134,"student","X",28,"no","token","sad","X",0.5,"human","no","sad token student"
"4048",134,"burden","X",30,"no","curly","thin","physical",0.48,"dimension","no","thin curly burden"
"4052",135,"hand","X",4,"no","last","prestigious","X",0,"value","no","prestigious last hand"
"4054",135,"voice","X",6,"no","curly","national","physical",0.05,"nationality","no","national curly voice"
"4055",135,"car","X",7,"no","historical","young","temporal",0.96,"age","no","young historical car"
"4056",135,"coverage","X",8,"no","purple","young","color",0.98,"age","no","young purple coverage"
"4057",135,"bearing","X",9,"no","overhead","red","location",0.05,"color","no","red overhead bearing"
"4068",135,"vitamin","X",20,"no","closest","strict","location",0.51,"human","no","strict closest vitamin"
"4069",135,"dough","X",21,"no","blonde","junior","color",0.35,"age","no","junior blonde dough"
"4075",135,"country","X",27,"no","creamy","Vietnamese","physical",0.1,"nationality","no","Vietnamese creamy country"
"4081",136,"hand","X",3,"no","pleasant","new","value",0.51,"age","no","new pleasant hand"
"4092",136,"life","X",14,"no","creamy","biggest","physical",0.51,"dimension","no","biggest creamy life"
"4096",136,"sense","X",18,"no","square","internal","shape",0.48,"location","no","internal square sense"
"4098",136,"guy","X",20,"no","different","crocheted","X",0.5,"material","no","crocheted different guy"
"4103",136,"reinforcement","X",25,"no","spicy","junior","physical",0.5,"age","no","junior spicy reinforcement"
"4105",136,"behavior","X",27,"no","plain","black","value",0.5,"color","no","black plain behavior"
"4106",136,"pet","X",28,"no","Hispanic","crocheted","nationality",0.47,"material","no","crocheted Hispanic pet"
"4110",136,"tax","X",32,"no","green","young","color",0.5,"age","no","young green tax"
"4114",137,"feeling","X",6,"no","long","junior","dimension",0.48,"age","no","junior long feeling"
"4115",137,"luck","X",7,"no","overhead","civilized","location",0.47,"human","no","civilized overhead luck"
"4122",137,"type","X",14,"no","different","open","X",0.45,"dimension","no","open different type"
"4126",137,"grandchild","X",18,"no","best","open","value",0.46,"dimension","no","open best grandchild"
"4127",137,"environment","X",19,"no","different","black","X",0.5,"color","no","black different environment"
"4141",138,"radio","X",3,"no","Brazilian","narrow","nationality",0.53,"dimension","no","narrow Brazilian radio"
"4148",138,"garbage","X",10,"no","civilized","old-time","human",0.5,"age","no","old-time civilized garbage"
"4149",138,"form","X",11,"no","speedy","Brazilian","speed",0.49,"nationality","no","Brazilian speedy form"
"4155",138,"weather","X",17,"no","designated","senior","X",0.55,"age","no","senior designated weather"
"4159",138,"family","X",21,"no","slow","solid","speed",0.52,"physical","no","solid slow family"
"4165",138,"change","X",27,"no","potential","young","X",0.52,"age","no","young potential change"
"4167",138,"coverage","X",29,"no","internal","yellow","location",0.51,"color","no","yellow internal coverage"
"4169",138,"type","X",31,"no","favorite","fast","value",0.52,"speed","no","fast favorite type"
"4170",138,"sand","X",32,"no","individual","senior","X",0.51,"age","no","senior individual sand"
"4188",139,"sauce","X",20,"no","open","senior","dimension",0.5,"age","no","senior open sauce"
"4211",140,"grandchild","X",13,"no","current","national","temporal",0.19,"nationality","no","national current grandchild"
"4226",140,"goal","X",28,"no","prestigious","square","value",0.86,"shape","no","square prestigious goal"
"4230",140,"college","X",32,"no","exciting","thin","value",0.12,"dimension","no","thin exciting college"
"4259",141,"trial","X",31,"no","sweet","strict","physical",0.51,"human","no","strict sweet trial"
"4261",142,"ski","X",3,"no","token","pleasant","X",0.66,"value","no","pleasant token ski"
"4273",142,"garbage","X",15,"no","current","white","temporal",0.48,"color","no","white current garbage"
"4286",142,"value","X",28,"no","spicy","selfish","physical",0.52,"human","no","selfish spicy value"
"4288",142,"trial","X",30,"no","mixed","prestigious","X",0.54,"value","no","prestigious mixed trial"
"4289",142,"coke","X",31,"no","slow","white","speed",0.49,"color","no","white slow coke"
"4320",143,"benefit","X",32,"no","current","creamy","temporal",0.41,"physical","no","creamy current benefit"
"4353",145,"radio","X",5,"no","individual","curly","X",0.49,"physical","no","curly individual radio"
"4354",145,"sound","X",6,"no","entrepreneurial","mini","human",0.48,"dimension","no","mini entrepreneurial sound"
"4359",145,"snake","X",11,"no","selfish","old-time","human",0.51,"age","no","old-time selfish snake"
"4369",145,"brush","X",21,"no","smooth","sad","physical",0.52,"human","no","sad smooth brush"
"4379",145,"reinforcement","X",31,"no","lacy","national","physical",0.53,"nationality","no","national lacy reinforcement"
"4381",146,"hand","X",3,"no","spicy","strict","physical",0.5,"human","no","strict spicy hand"
"4382",146,"look","X",4,"no","frozen","new","physical",0.76,"age","no","new frozen look"
"4383",146,"can","X",5,"no","pleasant","gold","value",0.51,"material","no","gold pleasant can"
"4384",146,"crime","X",6,"no","circular","gold","shape",0.41,"material","no","gold circular crime"
"4385",146,"situation","X",7,"no","lacy","new","physical",0.59,"age","no","new lacy situation"
"4387",146,"dog","X",9,"no","creative","open","human",0.72,"dimension","no","open creative dog"
"4390",146,"labrador","X",12,"no","spicy","corduroy","physical",0.53,"material","no","corduroy spicy labrador"
"4391",146,"truth","X",13,"no","pleasant","curly","value",0.46,"physical","no","curly pleasant truth"
"4392",146,"city","X",14,"no","creamy","narrow","physical",0.57,"dimension","no","narrow creamy city"
"4393",146,"shrimp","X",15,"no","token","exciting","X",0.62,"value","no","exciting token shrimp"
"4400",146,"room","X",22,"no","strict","junior","human",0.4,"age","no","junior strict room"
"4405",146,"coke","X",27,"no","entrepreneurial","long","human",0.52,"dimension","no","long entrepreneurial coke"
"4410",146,"teller","X",32,"no","best","corduroy","value",0.53,"material","no","corduroy best teller"
"4412",147,"valley","X",4,"no","creamy","national","physical",0.22,"nationality","no","national creamy valley"
"4420",147,"room","X",12,"no","different","current","X",0.84,"temporal","no","current different room"
"4438",147,"benefit","X",30,"no","circular","gold","shape",0.43,"material","no","gold circular benefit"
"4440",147,"snake","X",32,"no","daily","international","temporal",0.89,"nationality","no","international daily snake"
"4448",148,"place","X",10,"no","mixed","open","X",0.6,"dimension","no","open mixed place"
"4457",148,"value","X",19,"no","plain","fast","value",0.4,"speed","no","fast plain value"
"4470",148,"color","X",32,"no","individual","blonde","X",0.46,"color","no","blonde individual color"
"4478",149,"brush","X",10,"no","pleasant","sad","value",0.51,"human","no","sad pleasant brush"
"4480",149,"shot","X",12,"no","corduroy","old","material",0.52,"age","no","old corduroy shot"
"4500",149,"party","X",32,"no","fast","circular","speed",0.51,"shape","no","circular fast party"
"4502",150,"spaghetti","X",4,"no","potential","everyday","X",0.53,"temporal","no","everyday potential spaghetti"
"4512",150,"trunk","X",14,"no","current","strict","temporal",0.51,"human","no","strict current trunk"
"4516",150,"driveway","X",18,"no","lacy","yellow","physical",0.48,"color","no","yellow lacy driveway"
"4517",150,"sense","X",19,"no","designated","thin","X",0.49,"dimension","no","thin designated sense"
"4522",150,"rib","X",24,"no","playful","senior","human",0.51,"age","no","senior playful rib"
"4561",152,"sound","X",3,"no","favorite","black","value",0.04,"color","no","black favorite sound"
"4570",152,"dough","X",12,"no","curly","corduroy","physical",0.97,"material","no","corduroy curly dough"
"4571",152,"wood","X",13,"no","lavish","slow","value",0.87,"speed","no","slow lavish wood"
"4572",152,"strip","X",14,"no","closest","strict","location",0.08,"human","no","strict closest strip"
"4575",152,"grandfather","X",17,"no","exciting","frozen","value",0.04,"physical","no","frozen exciting grandfather"
"4582",152,"letter","X",24,"no","best","slow","value",0.12,"speed","no","slow best letter"
"4592",153,"word","X",4,"no","civilized","open","human",0.12,"dimension","no","open civilized word"
"4599",153,"teller","X",11,"no","biggest","red","dimension",0.53,"color","no","red biggest teller"
"4609",153,"spaghetti","X",21,"no","sweet","wooden","physical",0.49,"material","no","wooden sweet spaghetti"
"4621",154,"baby","X",3,"no","Brazilian","red","nationality",0.56,"color","no","red Brazilian baby"
"4638",154,"strip","X",20,"no","different","long","X",0.92,"dimension","no","long different strip"
"4642",154,"trunk","X",24,"no","professional","thick","human",0.94,"dimension","no","thick professional trunk"
"4643",154,"income","X",25,"no","prestigious","crocheted","value",0.94,"material","no","crocheted prestigious income"
"4646",154,"sound","X",28,"no","pleasant","selfish","value",0.94,"human","no","selfish pleasant sound"
"4650",154,"sauce","X",32,"no","historical","senior","temporal",0.96,"age","no","senior historical sauce"
"4660",155,"feeling","X",12,"no","mini","young","dimension",0.52,"age","no","young mini feeling"
"4676",155,"grandfather","X",28,"no","mixed","entrepreneurial","X",0.51,"human","no","entrepreneurial mixed grandfather"
"4725",157,"rate","X",17,"no","open","blonde","dimension",0.6,"color","no","blonde open rate"
"4729",157,"car","X",21,"no","creamy","new","physical",0.88,"age","no","new creamy car"
"4730",157,"pan","X",22,"no","exciting","open","value",0.25,"dimension","no","open exciting pan"
"4733",157,"reason","X",25,"no","wooden","mini","material",0.86,"dimension","no","mini wooden reason"
"4735",157,"voice","X",27,"no","speedy","yellow","speed",0.25,"color","no","yellow speedy voice"
"4744",158,"bearing","X",6,"no","creamy","long","physical",0.86,"dimension","no","long creamy bearing"
"4745",158,"opinion","X",7,"no","smooth","strict","physical",0.15,"human","no","strict smooth opinion"
"4763",158,"stuff","X",25,"no","slow","crocheted","speed",0.2,"material","no","crocheted slow stuff"
"4772",159,"mall","X",4,"no","favorite","slow","value",0.89,"speed","no","slow favorite mall"
"4861",162,"spirit","X",3,"no","long","young","dimension",0.63,"age","no","young long spirit"
"4864",162,"word","X",6,"no","corduroy","large","material",0.9,"dimension","no","large corduroy word"
"4867",162,"world","X",9,"no","long","blue","dimension",0.1,"color","no","blue long world"
"4871",162,"list","X",13,"no","crocheted","mini","material",0.82,"dimension","no","mini crocheted list"
"4881",162,"term","X",23,"no","last","blue","X",0.19,"color","no","blue last term"
"4885",162,"trial","X",27,"no","smooth","thick","physical",0.27,"dimension","no","thick smooth trial"
"4889",162,"house","X",31,"no","crocheted","senior","material",0.2,"age","no","senior crocheted house"
"4891",163,"room","X",3,"no","best","thick","value",0.05,"dimension","no","thick best room"
"4910",163,"mouth","X",22,"no","prestigious","everyday","value",0.94,"temporal","no","everyday prestigious mouth"
"4922",164,"hair","X",4,"no","internal","blonde","location",0.5,"color","no","blonde internal hair"
"4931",164,"service","X",13,"no","different","old","X",0.5,"age","no","old different service"
"4935",164,"baby","X",17,"no","favorite","entrepreneurial","value",0.47,"human","no","entrepreneurial favorite baby"
"4945",164,"bag","X",27,"no","slow","English","speed",0.42,"nationality","no","English slow bag"
"4946",164,"term","X",28,"no","lacy","wooden","physical",0.53,"material","no","wooden lacy term"
"4950",164,"tollway","X",32,"no","everyday","overhead","temporal",0.51,"location","no","overhead everyday tollway"
"4951",165,"slant","X",3,"no","selfish","green","human",0.41,"color","no","green selfish slant"
"4952",165,"labrador","X",4,"no","English","entrepreneurial","nationality",0.45,"human","no","entrepreneurial English labrador"
"4959",165,"reason","X",11,"no","lavish","blue","value",0.44,"color","no","blue lavish reason"
"4970",165,"banking","X",22,"no","current","purple","temporal",0.41,"color","no","purple current banking"
"4974",165,"corporation","X",26,"no","lacy","young","physical",0.42,"age","no","young lacy corporation"
"4976",165,"wood","X",28,"no","internal","sad","location",0.52,"human","no","sad internal wood"
"5012",167,"car","X",4,"no","mixed","selfish","X",0.62,"human","no","selfish mixed car"
"5018",167,"bearing","X",10,"no","mixed","Brazilian","X",0.48,"nationality","no","Brazilian mixed bearing"
"5020",167,"slant","X",12,"no","token","mini","X",0.48,"dimension","no","mini token slant"
"5021",167,"research","X",13,"no","lacy","yellow","physical",0.01,"color","no","yellow lacy research"
"5023",167,"citizen","X",15,"no","prestigious","corduroy","value",0.01,"material","no","corduroy prestigious citizen"
"5028",167,"decision","X",20,"no","pleasant","sad","value",0.57,"human","no","sad pleasant decision"
"5033",167,"school","X",25,"no","crocheted","yellow","material",0.27,"color","no","yellow crocheted school"
"5038",167,"sand","X",30,"no","crocheted","black","material",0.96,"color","no","black crocheted sand"
"5039",167,"wood","X",31,"no","everyday","frozen","temporal",0.51,"physical","no","frozen everyday wood"
"5040",167,"behavior","X",32,"no","slow","mini","speed",0.12,"dimension","no","mini slow behavior"
"5045",168,"report","X",7,"no","mixed","square","X",0.6,"shape","no","square mixed report"
"5048",168,"autobiography","X",10,"no","individual","creamy","X",0.61,"physical","no","creamy individual autobiography"
"5050",168,"baby","X",12,"no","daily","circular","temporal",0.42,"shape","no","circular daily baby"
"5067",168,"wind","X",29,"no","spicy","red","physical",0.31,"color","no","red spicy wind"
"5104",170,"guy","X",6,"no","internal","old","location",0.51,"age","no","old internal guy"
"5114",170,"time","X",16,"no","smooth","entrepreneurial","physical",0.39,"human","no","entrepreneurial smooth time"
"5115",170,"plan","X",17,"no","plain","black","value",0.47,"color","no","black plain plan"
"5124",170,"libertarian","X",26,"no","individual","large","X",0.46,"dimension","no","large individual libertarian"
"5130",170,"engine","X",32,"no","historical","curly","temporal",0.52,"physical","no","curly historical engine"
"5152",171,"luck","X",24,"no","Hispanic","overhead","nationality",0.51,"location","no","overhead Hispanic luck"
"5167",172,"mall","X",9,"no","frozen","entrepreneurial","physical",0.05,"human","no","entrepreneurial frozen mall"
"5229",174,"brush","X",11,"no","mixed","current","X",0.51,"temporal","no","current mixed brush"
"5243",174,"shell","X",25,"no","mixed","fast","X",0.57,"speed","no","fast mixed shell"
"5253",175,"pan","X",5,"no","speedy","corduroy","speed",0.56,"material","no","corduroy speedy pan"
"5254",175,"mouth","X",6,"no","wooden","young","material",0.5,"age","no","young wooden mouth"
"5256",175,"field","X",8,"no","lavish","sad","value",0.57,"human","no","sad lavish field"
"5260",175,"shot","X",12,"no","square","closest","shape",0.5,"location","no","closest square shot"
"5261",175,"change","X",13,"no","sad","senior","human",0.55,"age","no","senior sad change"
"5264",175,"sand","X",16,"no","best","professional","value",0.46,"human","no","professional best sand"
"5265",175,"power","X",17,"no","last","prestigious","X",0.54,"value","no","prestigious last power"
"5266",175,"trial","X",18,"no","European","blonde","nationality",0.51,"color","no","blonde European trial"
"5270",175,"autobiography","X",22,"no","frozen","Vietnamese","physical",0.49,"nationality","no","Vietnamese frozen autobiography"
"5271",175,"crime","X",23,"no","pleasant","crocheted","value",0.52,"material","no","crocheted pleasant crime"
"5273",175,"country","X",25,"no","current","wooden","temporal",0.53,"material","no","wooden current country"
