"","workerid","class","predicate","slide_number","response","language"
"697",26,"material","plastic",23,0.29,"english"
"698",26,"size","huge",24,0.87,"english"
"699",26,"age","rotten",25,0.76,"english"
"700",26,"texture","soft",26,0.27,"english"
"701",26,"color","brown",27,0.18,"english"
"702",26,"age","new",28,0.72,"english"
"703",27,"color","purple",3,0.21,"English"
"704",27,"texture","hard",4,0.2,"English"
"705",27,"texture","smooth",5,0.28,"English"
"706",27,"age","fresh",6,0.74,"English"
"707",27,"material","metal",7,0,"English"
"708",27,"size","big",8,0.51,"English"
"709",27,"age","old",9,0.32,"English"
"710",27,"size","short",10,0.53,"English"
"711",27,"color","red",11,0.2,"English"
"712",27,"material","plastic",12,0,"English"
"713",27,"color","yellow",13,0.14,"English"
"714",27,"size","small",14,0.59,"English"
"715",27,"quality","good",15,0.75,"English"
"716",27,"quality","bad",16,0.73,"English"
"717",27,"size","tiny",17,0.53,"English"
"718",27,"size","long",18,0.58,"English"
"719",27,"shape","square",19,0,"English"
"720",27,"color","brown",20,0.17,"English"
"721",27,"age","rotten",21,0.44,"English"
"722",27,"color","green",22,0.18,"English"
"723",27,"age","new",23,0.54,"English"
"724",27,"texture","soft",24,0.34,"English"
"725",27,"color","blue",25,0.12,"English"
"726",27,"material","wooden",26,0,"English"
"727",27,"shape","round",27,0,"English"
"728",27,"size","huge",28,0.53,"English"
"755",29,"color","red",3,0,"English"
"756",29,"shape","round",4,0,"English"
"757",29,"size","huge",5,0.76,"English"
"758",29,"size","tiny",6,0.71,"English"
"759",29,"color","green",7,0.01,"English"
"760",29,"age","old",8,0.8,"English"
"761",29,"age","rotten",9,0.35,"English"
"762",29,"size","long",10,0.7,"English"
"763",29,"age","new",11,0.6,"English"
"764",29,"age","fresh",12,0.68,"English"
"765",29,"texture","smooth",13,0.66,"English"
"766",29,"material","wooden",14,0.01,"English"
"767",29,"size","short",15,0.71,"English"
"768",29,"texture","hard",16,1,"English"
"769",29,"quality","bad",17,0.98,"English"
"770",29,"color","brown",18,0.01,"English"
"771",29,"texture","soft",19,0.78,"English"
"772",29,"color","blue",20,0,"English"
"773",29,"shape","square",21,0.01,"English"
"774",29,"quality","good",22,1,"English"
"775",29,"color","yellow",23,0,"English"
"776",29,"size","small",24,0.79,"English"
"777",29,"material","plastic",25,0,"English"
"778",29,"color","purple",26,0,"English"
"779",29,"size","big",27,0.82,"English"
"780",29,"material","metal",28,0,"English"
